fundname,fundid,fundtype,fundcompany,fundsize,todayestnav,yestnav,accumnav,todayrate,weekrate,monthrate,threemonthrate,sixmonthrate,fromthisyearrate,yearrate,twoyearrate,threeyearrate,industry1,industry1ratio,industry2,industry2ratio,category,date
前海开源人工智能主题混合,001986,混合型,前海开源基金,15.17亿,1.3126,1.3320,1.3320,-1.46,1.99,10.82,-1.77,1.76,0.83,20.76,0,0,制造业,76.27%,信息传输、软件和信息技术服务业,4.99%,净值型,2018-03-16
华富强化债券,164105,债券型,华富基金,4.07亿,1.2538,1.2540,1.7050,-0.01,0.08,0.56,0.89,0.24,0.56,3.47,8.09,18.69,金融业,1.44%,制造业,0.85%,净值型,2018-03-16
中银主题策略混合,163822,混合型,中银基金,2.75亿,1.8684,1.8820,1.9820,-0.72,-0.32,-0.48,-9.61,-4.22,-10.81,0.05,6.99,1.42,制造业,62.99%,金融业,23.90%,净值型,2018-03-16
中银信用增利债券(LOF),163819,债券型,中银基金,15.78亿,1.1112,1.1110,1.4550,0.02,0.09,0.73,2.40,0.00,2.49,2.59,2.93,12.62,信息传输、软件和信息技术服务业,0.66%,,,净值型,2018-03-16
中银转债增强债券B,163817,债券型,中银基金,0.54亿,1.8631,1.8640,1.8640,-0.05,0.54,0.76,3.27,-0.90,2.25,5.43,-1.64,-12.86,制造业,10.54%,金融业,1.61%,净值型,2018-03-16
中银中小盘成长混合,163818,混合型,中银基金,0.41亿,1.3434,1.3560,1.3560,-0.93,2.96,6.27,-7.38,-11.49,-6.16,-5.17,13.19,-13.52,制造业,66.43%,信息传输、软件和信息技术服务业,6.67%,净值型,2018-03-16
中银转债增强债券A,163816,债券型,中银基金,0.65亿,1.9111,1.9120,1.9120,-0.05,0.53,0.74,3.30,-0.78,2.30,5.75,-0.93,-11.89,制造业,10.54%,金融业,1.61%,净值型,2018-03-16
前海开源沪港深蓝筹精选混合,001837,混合型,前海开源基金,34.09亿,1.5675,1.5720,1.5720,-0.29,3.15,4.66,6.43,14.91,3.29,26.47,61.40,0,制造业,0.37%,金融业,0.00%,净值型,2018-03-16
中银全球策略,163813,QDII,中银基金,0.54亿,0.5900,0.5900,0.5900,0.01,0.85,2.08,-1.17,0.34,-0.67,0.85,-4.69,-32.03,,,,,净值型,2018-03-16
中银沪深300等权重指数,163821,股票指数,中银基金,0.33亿,1.4784,1.4890,1.4890,-0.71,0.27,4.42,0.20,-3.12,-0.27,1.36,13.06,-4.18,制造业,38.91%,金融业,17.22%,净值型,2018-03-16
中银稳健双利债券B,163812,债券型,中银基金,5.96亿,1.1813,1.1810,1.4740,0.03,0.17,1.93,0.33,-1.44,0.65,0.72,4.00,9.00,制造业,10.69%,农、林、牧、渔业,1.44%,净值型,2018-03-16
中银收益混合A,163804,混合型,中银基金,12.44亿,1.2759,1.2863,3.0883,-0.81,2.10,5.95,4.69,9.23,4.05,13.82,23.04,20.54,制造业,62.44%,建筑业,4.64%,净值型,2018-03-16
中银稳健双利债券A,163811,债券型,中银基金,34.33亿,1.1923,1.1920,1.5140,0.03,0.17,1.90,0.41,-1.34,0.64,1.04,4.68,10.17,制造业,10.69%,农、林、牧、渔业,1.44%,净值型,2018-03-16
中银中证100,163808,股票指数,中银基金,3.80亿,1.3952,1.4080,1.4180,-0.91,0.21,1.81,4.14,11.39,2.70,30.49,56.97,39.96,金融业,41.75%,制造业,31.32%,净值型,2018-03-16
中银策略混合,163805,混合型,中银基金,7.89亿,1.1989,1.2122,2.5232,-1.10,1.02,0.21,0.57,10.90,0.54,23.14,39.36,36.08,制造业,61.16%,房地产业,7.88%,净值型,2018-03-16
工银中证500分级,164809,股票指数,工银瑞信基金,2.03亿,1.2494,1.2557,1.3983,-0.50,0.76,7.21,-0.51,-5.71,-0.78,-4.55,7.37,-14.48,制造业,48.24%,信息传输、软件和信息技术服务业,6.66%,净值型,2018-03-16
中银持续增长混合A,163803,混合型,中银基金,20.81亿,0.4126,0.4166,3.6188,-0.97,-0.24,-1.86,2.94,11.83,-0.21,10.10,14.44,6.80,制造业,57.71%,金融业,30.23%,净值型,2018-03-16
中银价值精选,163810,混合型,中银基金,2.39亿,1.7210,1.7410,1.7610,-1.15,1.69,0.17,1.34,11.10,0.69,19.41,35.49,19.00,制造业,62.06%,金融业,4.54%,净值型,2018-03-16
天治核心成长混合(LOF),163503,混合型,天治基金,5.94亿,0.4917,0.4977,2.3870,-1.20,0.50,4.87,0.93,-1.60,-0.52,6.01,2.24,-9.08,制造业,61.13%,金融业,13.48%,净值型,2018-03-16
兴全合宜混合A,163417,混合型,兴全基金,329.63亿,--,1.0080,1.0080,0,1.23,4.48,0,0,0,0,0,0,,,,,净值型,2018-03-16
兴全商业模式优选混合,163415,混合型,兴全基金,13.37亿,1.4354,1.4540,2.3140,-1.28,1.47,8.83,2.90,8.59,5.13,4.53,27.92,43.91,制造业,51.76%,信息传输、软件和信息技术服务业,11.03%,净值型,2018-03-16
兴全轻资产混合(LOF),163412,混合型,兴全基金,50.93亿,3.3113,3.3390,4.4030,-0.83,1.12,3.73,5.56,21.37,2.39,28.82,48.93,94.06,制造业,46.58%,金融业,23.40%,净值型,2018-03-16
中银中国精选,163801,混合型,中银基金,13.43亿,1.3331,1.3437,4.1637,-0.79,1.76,5.89,4.03,9.85,3.15,13.85,22.75,5.99,制造业,61.69%,建筑业,4.73%,净值型,2018-03-16
兴全绿色投资混合(LOF),163409,混合型,兴全基金,5.53亿,1.5963,1.6060,2.2860,-0.61,0.50,8.22,0.94,1.33,0.38,3.95,21.12,8.90,制造业,67.20%,金融业,7.90%,净值型,2018-03-16
兴全合润分级混合,163406,混合型,兴全基金,57.40亿,1.3915,1.3946,3.6189,-0.22,0.74,5.96,4.24,20.09,1.23,27.73,48.04,98.32,制造业,46.53%,金融业,20.31%,净值型,2018-03-16
兴全趋势投资混合(LOF),163402,混合型,兴全基金,132.60亿,0.9590,0.9669,9.6271,-0.81,0.78,5.28,6.78,18.58,4.39,25.18,48.20,63.51,制造业,41.72%,金融业,13.89%,净值型,2018-03-16
诺安纯债定期开放债券C,163211,定开债券,诺安基金,0.69亿,1.0713,1.0710,1.3960,0.03,0.09,0.47,1.42,1.13,1.23,2.88,6.88,20.02,,,,,净值型,2018-03-16
诺安纯债定期开放债券A,163210,定开债券,诺安基金,3.77亿,1.0793,1.0790,1.4240,0.03,0.09,0.47,1.51,1.31,1.31,3.25,7.68,21.46,,,,,净值型,2018-03-16
诺安中证创业成长指数分级,163209,股票指数,诺安基金,0.21亿,1.0647,1.0760,1.6910,-1.05,1.99,8.03,-1.28,-8.68,-0.29,-4.80,4.85,-10.77,制造业,48.01%,信息传输、软件和信息技术服务业,9.83%,净值型,2018-03-16
诺安油气能源,163208,QDII,诺安基金,1.49亿,--,0.8130,0.8130,0,0.37,-1.09,-6.01,-0.49,-9.67,-9.36,8.69,-6.23,,,,,净值型,2018-03-16
申万中证申万新兴健康产业指数,163119,股票指数,申万菱信基金,0.70亿,0.8909,0.8886,0.8886,0.26,1.44,9.73,0.40,-2.67,1.01,-4.70,0,0,制造业,52.74%,信息传输、软件和信息技术服务业,12.07%,净值型,2018-03-16
申万菱信申万医药生物分级,163118,股票指数,申万菱信基金,8.04亿,0.9692,0.9692,1.0262,0.00,-0.01,7.80,3.37,10.14,2.33,13.00,27.16,0,制造业,77.34%,批发和零售业,8.82%,净值型,2018-03-16
申万菱信中证军工指数分级,163115,股票指数,申万菱信基金,19.30亿,1.1051,1.1128,1.4668,-0.69,0.28,10.72,-9.05,-13.87,-5.77,-24.58,-18.39,-23.79,制造业,87.57%,信息传输、软件和信息技术服务业,4.06%,净值型,2018-03-16
申万菱信申万传媒分级,163117,股票指数,申万菱信基金,0.50亿,0.9709,0.9712,0.3869,-0.03,3.63,12.75,1.68,-10.53,4.66,-20.87,-23.01,0,信息传输、软件和信息技术服务业,54.50%,文化、体育和娱乐业,29.39%,净值型,2018-03-16
申万菱信中小板指数,163111,股票指数,申万菱信基金,1.28亿,1.1424,1.1543,1.9532,-1.03,1.58,7.02,0.24,0.73,1.75,12.42,21.42,10.18,制造业,64.71%,信息传输、软件和信息技术服务业,8.89%,净值型,2018-03-16
申万菱信申万电子分级,163116,股票指数,申万菱信基金,1.74亿,1.1776,1.1986,0.7930,-1.75,1.84,10.59,-0.87,5.02,0.63,15.95,39.39,0,制造业,90.67%,批发和零售业,0.63%,净值型,2018-03-16
长信利鑫债券(LOF)A,163008,债券型,长信基金,4.44亿,0.6369,0.6368,1.0368,0.01,-0.02,0.35,0.90,0.98,0.79,2.79,0,0,,,,,净值型,2018-03-16
申万菱信深证成指分级,163109,股票指数,申万菱信基金,23.39亿,0.5940,0.5996,0.7999,-0.93,1.20,6.41,1.08,-0.38,0.80,4.51,14.89,-6.42,制造业,58.26%,信息传输、软件和信息技术服务业,8.64%,净值型,2018-03-16
中银稳健增利债券,163806,债券型,中银基金,10.45亿,1.1013,1.1010,1.5860,0.02,0.09,0.52,1.39,0.79,1.39,2.53,3.99,14.67,金融业,3.83%,,,净值型,2018-03-16
申万中证环保产业指数分级,163114,股票指数,申万菱信基金,8.12亿,0.8817,0.8842,1.5629,-0.29,0.84,7.84,-5.33,-9.52,-4.97,-6.98,8.55,-9.80,制造业,58.28%,电力、热力、燃气及水生产和供应业,14.86%,净值型,2018-03-16
天弘添利债券(LOF),164206,债券型,天弘基金,3.04亿,1.0672,1.0670,1.5600,0.02,0.19,0.57,1.23,1.23,1.04,2.69,4.61,22.08,信息技术业,"1,776.60",制造业 - 纺织、服装、皮毛,540.24,净值型,2018-03-16
长信利众债券(LOF)C,163005,债券型,长信基金,6.62亿,0.8331,0.8330,1.0430,0.01,0.01,0.41,0.98,0.59,0.88,2.27,3.42,19.71,,,,,净值型,2018-03-16
长信医疗保健混合(LOF),163001,混合型,长信基金,0.93亿,0.9379,0.9420,1.4820,-0.44,-1.05,8.40,5.37,2.73,3.06,-4.27,11.48,23.04,制造业,69.93%,批发和零售业,21.68%,净值型,2018-03-16
泰信基本面400指数分级,162907,股票指数,泰信基金,0.57亿,0.7222,0.7260,1.6920,-0.52,0.69,5.68,0.33,-5.48,-0.47,-2.15,10.80,-4.18,制造业,53.89%,批发和零售业,7.10%,净值型,2018-03-16
广发鑫瑞混合,162718,混合型,广发基金,2.18亿,1.0070,1.0109,1.0109,-0.38,0.30,1.64,-1.59,0.82,-0.98,1.10,0,0,制造业,12.52%,农、林、牧、渔业,8.37%,净值型,2018-03-16
广发聚源债券(LOF)C,162716,债券型,广发基金,0.03亿,1.0902,1.0900,1.1260,0.02,0.09,0.37,1.30,1.96,1.02,3.32,2.94,10.74,,,,,净值型,2018-03-16
广发睿吉定增混合,162717,混合型,广发基金,3.22亿,1.0164,1.0170,1.0170,-0.06,0.00,0.20,0.59,0.99,0.39,-0.20,0,0,制造业,0.29%,,,净值型,2018-03-16
广发聚利债券(LOF),162712,债券型,广发基金,7.03亿,1.4423,1.4420,1.7060,0.02,0.07,0.49,1.41,1.48,1.26,3.22,2.41,21.77,信息传输、软件和信息技术服务业,7.80%,制造业,4.96%,净值型,2018-03-16
广发小盘成长混合(LOF),162703,混合型,广发基金,23.06亿,1.4921,1.5059,3.8439,-0.91,3.28,11.16,4.65,8.56,6.00,26.25,44.71,25.43,制造业,65.95%,信息传输、软件和信息技术服务业,8.23%,净值型,2018-03-16
景顺长城资源垄断混合,162607,混合型,景顺长城基金,18.30亿,0.5301,0.5320,3.0780,-0.36,1.72,10.14,5.32,5.87,4.59,28.18,74.62,30.60,制造业,52.66%,金融业,12.13%,净值型,2018-03-16
广发道琼斯石油指数A,162719,QDII-指数,广发基金,0.89亿,0.9495,0.9445,0.9445,0.53,0.56,-1.16,-3.41,7.42,-8.52,-5.52,0,0,,,,,净值型,2018-03-16
长信利鑫债券(LOF)C,163003,债券型,长信基金,0.31亿,0.6297,0.6296,1.0296,0.01,-0.03,0.32,0.80,0.74,0.69,2.10,4.51,21.54,,,,,净值型,2018-03-16
广发深证100指数分级,162714,股票指数,广发基金,0.97亿,1.2332,1.2494,1.4186,-1.30,1.46,5.08,4.06,9.48,2.40,23.79,45.95,20.07,制造业,58.82%,金融业,10.59%,净值型,2018-03-16
国联安双禧中证100,162509,股票指数,国联安基金,1.97亿,1.3658,1.3790,1.3460,-0.96,0.15,1.70,3.84,10.23,2.45,26.28,44.18,23.96,金融业,43.15%,制造业,31.74%,净值型,2018-03-16
国联安双力中小板综指,162510,股票指数,国联安基金,0.15亿,1.0266,1.0320,1.8200,-0.52,0.98,6.94,-3.19,-5.06,-2.09,-4.27,10.39,12.59,制造业,69.88%,信息传输、软件和信息技术服务业,5.59%,净值型,2018-03-16
广发聚源债券(LOF)A,162715,债券型,广发基金,2.38亿,1.1092,1.1090,1.1500,0.02,0.09,0.45,1.46,2.21,1.19,3.94,4.03,12.47,,,,,净值型,2018-03-16
华宝新机遇混合(LOF)A,162414,混合型,华宝基金,1.30亿,1.1726,1.1764,1.1764,-0.32,0.12,1.03,1.66,3.42,1.02,8.59,14.54,0,制造业,10.54%,金融业,10.22%,净值型,2018-03-16
华宝中证医疗指数分级,162412,股票指数,华宝基金,2.30亿,0.9261,0.9257,0.3669,0.05,-0.86,10.28,5.76,4.65,5.13,-4.81,-0.39,0,制造业,58.58%,卫生和社会工作,27.71%,净值型,2018-03-16
泰达宏利沪深300指数增强A,162213,股票指数,泰达宏利基金,1.01亿,1.4937,1.5030,1.9430,-0.62,-0.19,1.06,2.65,6.41,1.26,20.50,44.76,51.74,金融业,44.36%,制造业,24.40%,净值型,2018-03-16
海富通中证100,162307,股票指数,海富通基金,1.00亿,1.3213,1.3330,1.3330,-0.88,0.23,1.60,3.74,10.81,2.38,26.83,44.26,26.59,金融业,42.70%,制造业,31.88%,净值型,2018-03-16
广发中证500ETF联接A,162711,联接基金,广发基金,12.39亿,1.3036,1.3102,1.3102,-0.50,0.65,6.96,-1.05,-6.30,-1.31,-3.75,10.30,-4.06,制造业,0.29%,房地产业,0.03%,净值型,2018-03-16
国联安双佳信用债券(LOF),162511,债券型,国联安基金,12.92亿,1.0321,1.0320,1.1430,0.01,0.00,0.10,0.58,1.57,0.49,3.59,4.92,17.35,,,,,净值型,2018-03-16
泰达宏利集利债券C,162299,债券型,泰达宏利基金,0.34亿,1.2595,1.2594,1.6724,0.00,0.10,1.10,0.92,0.67,0.76,2.66,5.43,21.07,制造业,10.09%,金融业,3.18%,净值型,2018-03-16
华宝中证1000指数分级,162413,股票指数,华宝基金,0.72亿,1.0445,1.0460,0.4150,-0.15,1.36,8.81,-4.53,-13.58,-3.04,-19.05,-6.49,0,制造业,59.57%,信息传输、软件和信息技术服务业,8.90%,净值型,2018-03-16
华宝标普美国消费人民币,162415,QDII-指数,华宝基金,1.28亿,1.2927,1.2860,1.2860,0.52,1.02,0.94,3.38,12.61,3.46,10.10,0,0,,,,,净值型,2018-03-16
泰达宏利聚利债券(LOF),162215,债券型,泰达宏利基金,1.44亿,1.0215,1.0230,1.5560,-0.15,-0.29,0.29,-0.49,-2.39,-1.45,1.39,1.90,9.04,金融业,9.72%,制造业,8.11%,净值型,2018-03-16
泰达宏利首选企业股票,162208,股票型,泰达宏利基金,5.33亿,1.2771,1.2863,2.0063,-0.72,0.34,4.86,1.74,1.78,0.57,14.82,39.91,6.48,制造业,51.53%,金融业,12.78%,净值型,2018-03-16
泰达宏利集利债券A,162210,债券型,泰达宏利基金,15.96亿,1.3258,1.3258,1.7358,0.00,0.11,1.14,1.02,0.71,0.85,2.89,6.00,22.20,制造业,10.09%,金融业,3.18%,净值型,2018-03-16
泰达中证500分级,162216,股票指数,泰达宏利基金,2.97亿,1.0247,1.0297,2.1880,-0.48,0.46,6.61,1.20,-1.62,-0.64,4.92,30.05,34.09,制造业,56.73%,批发和零售业,8.78%,净值型,2018-03-16
泰达宏利风险预算混合,162205,混合型,泰达宏利基金,1.93亿,1.0377,1.0413,2.9863,-0.35,-0.49,1.68,-0.23,-1.91,-0.68,2.85,6.64,12.05,制造业,28.04%,金融业,4.74%,净值型,2018-03-16
泰达宏利成长混合,162201,混合型,泰达宏利基金,5.90亿,1.2791,1.2888,3.4838,-0.75,1.79,10.48,1.96,-0.69,2.25,-1.34,8.61,-12.05,制造业,45.13%,文化、体育和娱乐业,16.13%,净值型,2018-03-16
泰达宏利市值优选混合,162209,混合型,泰达宏利基金,12.30亿,0.8780,0.8858,0.8858,-0.88,1.01,6.48,3.13,3.72,0.85,14.71,25.91,-14.29,制造业,62.93%,金融业,16.46%,净值型,2018-03-16
泰达宏利效率优选混合,162207,混合型,泰达宏利基金,9.67亿,1.4317,1.4475,3.4815,-1.09,1.16,3.31,6.59,13.59,4.69,24.43,40.45,9.39,制造业,49.50%,金融业,14.83%,净值型,2018-03-16
泰达宏利周期混合,162202,混合型,泰达宏利基金,2.35亿,1.4291,1.4395,3.4845,-0.72,1.11,4.82,1.80,-7.62,0.44,3.77,30.34,19.75,制造业,63.50%,房地产业,11.44%,净值型,2018-03-16
泰达宏利品质生活混合,162211,混合型,泰达宏利基金,0.55亿,0.8886,0.8960,1.3560,-0.82,0.79,4.31,1.93,-2.71,1.36,5.41,10.62,-28.43,制造业,50.99%,批发和零售业,6.04%,净值型,2018-03-16
万家中创指数分级,161910,股票指数,万家基金,0.18亿,0.9140,0.9247,1.6861,-1.16,2.00,8.03,-1.74,-9.90,-1.05,-5.94,1.41,-11.11,制造业,49.74%,信息传输、软件和信息技术服务业,10.14%,净值型,2018-03-16
金鹰量化精选股票(LOF),162107,股票型,金鹰基金,0.17亿,0.8146,0.8212,0.8212,-0.80,1.05,8.10,-3.94,-14.64,-2.32,-21.21,-5.93,-18.98,制造业,48.36%,交通运输、仓储和邮政业,7.03%,净值型,2018-03-16
金鹰中小盘精选,162102,混合型,金鹰基金,4.12亿,1.0371,1.0376,2.9341,-0.05,1.57,7.39,-0.05,3.99,1.35,-1.56,12.75,15.86,制造业,52.60%,卫生和社会工作,4.35%,净值型,2018-03-16
金鹰持久增利债券(LOF)C,162105,债券型,金鹰基金,0.54亿,1.0706,1.0712,1.4369,-0.05,0.22,1.00,1.10,-2.13,1.93,-0.84,0.59,7.11,制造业,5.46%,金融业,4.09%,净值型,2018-03-16
长城久富混合(LOF),162006,混合型,长城基金,9.16亿,1.2017,1.2093,3.9391,-0.63,0.26,3.56,1.06,7.61,-0.58,16.12,33.49,14.66,制造业,58.93%,金融业,7.96%,净值型,2018-03-16
万家中证红利指数,161907,股票指数,万家基金,0.52亿,1.7202,1.7321,1.7321,-0.69,-0.36,2.20,3.10,4.22,1.62,14.43,36.57,33.63,制造业,38.15%,金融业,16.02%,净值型,2018-03-16
万家强化收益定期开放债券,161911,定开债券,万家基金,3.14亿,1.0198,1.0196,1.3206,0.02,-0.02,0.31,1.35,1.53,1.19,3.43,5.09,13.68,,,,,净值型,2018-03-16
万家增强收益债券,161902,债券型,万家基金,1.32亿,1.1097,1.1103,2.1414,-0.05,0.34,1.50,1.01,0.79,0.08,0.93,2.91,6.73,交通运输、仓储和邮政业,8.05%,制造业,3.22%,净值型,2018-03-16
万家添利债券(LOF),161908,债券型,万家基金,0.52亿,0.9051,0.9050,1.5065,0.01,0.15,0.46,1.15,0.12,1.03,1.55,0.99,8.29,制造业,0.58%,电力、热力、燃气及水生产和供应业,0.16%,净值型,2018-03-16
银华中证转债指数增强分级,161826,债券指数,银华基金,0.56亿,1.0412,1.0410,1.1160,0.02,-0.10,0.10,3.58,-4.20,4.31,-2.10,-6.10,-34.54,,,,,净值型,2018-03-16
长城久兆中小板300,162010,股票指数,长城基金,0.24亿,1.1012,1.1100,1.8290,-0.79,1.46,7.66,3.29,0.81,4.33,5.01,16.20,3.38,制造业,63.31%,信息传输、软件和信息技术服务业,9.57%,净值型,2018-03-16
万家行业优选混合(LOF),161903,混合型,万家基金,1.33亿,0.8734,0.8773,2.6838,-0.44,0.06,4.38,6.68,-0.72,7.04,2.59,26.72,64.52,制造业,35.08%,金融业,23.21%,净值型,2018-03-16
银华惠丰定开混合,161835,混合型,银华基金,2.06亿,1.0205,1.0211,1.0211,-0.06,0.04,0.31,1.01,1.26,1.15,0,0,0,批发和零售业,0.57%,,,净值型,2018-03-16
银华中证800分级,161825,股票指数,银华基金,0.51亿,0.9772,0.9820,1.7160,-0.49,0.41,6.28,2.08,-2.32,0.72,-1.17,11.34,-6.33,制造业,49.91%,批发和零售业,13.50%,净值型,2018-03-16
银华消费分级混合,161818,混合型,银华基金,2.13亿,1.2449,1.2530,1.3360,-0.65,-0.40,1.38,-2.12,7.27,-3.54,13.22,12.37,-16.42,制造业,38.74%,金融业,8.87%,净值型,2018-03-16
银华恒生国企指数分级,161831,QDII-指数,银华基金,33.70亿,1.0490,1.0565,1.1586,-0.71,2.52,6.14,5.64,9.28,3.90,13.43,41.89,3.64,,,,,净值型,2018-03-16
银华纯债信用债券,161820,债券型,银华基金,13.33亿,1.1072,1.1070,1.3510,0.02,0.09,0.45,1.47,2.12,1.37,3.85,4.26,16.24,,,,,净值型,2018-03-16
银华资源指数分级,161819,股票指数,银华基金,1.02亿,1.2037,1.2210,0.7800,-1.42,1.75,4.00,4.96,-7.48,-0.19,11.77,28.73,-0.53,采矿业,50.80%,制造业,44.05%,净值型,2018-03-16
银华永兴纯债债券(LOF)C,161824,债券型,银华基金,4.20亿,1.0272,1.0270,1.0270,0.02,0.10,0.29,0.88,0.59,0.88,2.19,1.99,6.08,,,,,净值型,2018-03-16
银华鑫锐定增灵活配置混合,161834,混合型,银华基金,15.12亿,0.9121,0.9210,0.9210,-0.96,0.77,4.19,-2.13,-10.06,-1.18,-8.36,0,0,制造业,33.96%,水利、环境和公共设施管理业,8.19%,净值型,2018-03-16
银华永兴纯债债券(LOF)A,161823,债券型,银华基金,3.34亿,1.0372,1.0370,1.0370,0.02,0.10,0.29,0.97,0.88,0.88,2.67,2.98,15.96,,,,,净值型,2018-03-16
银华中证等权90分级,161816,股票指数,银华基金,2.09亿,1.1338,1.1450,1.2330,-0.98,0.62,3.62,0.84,-1.62,0.06,9.22,23.60,2.26,金融业,33.45%,制造业,29.74%,净值型,2018-03-16
银华内需精选混合(LOF),161810,混合型,银华基金,4.61亿,1.6044,1.6270,1.5470,-1.39,3.04,12.05,3.30,-12.24,-0.91,-0.67,7.68,32.49,制造业,69.54%,采矿业,15.56%,净值型,2018-03-16
银华抗通胀主题,161815,QDII,银华基金,0.73亿,0.4595,0.4590,0.4590,0.11,-0.65,0.00,0.44,4.32,-2.75,1.10,8.00,-14.04,,,,,净值型,2018-03-16
招商国证生物医药指数分级,161726,股票指数,招商基金,4.33亿,1.0435,1.0430,0.6980,0.05,-0.57,8.42,-2.80,3.49,-1.70,4.30,18.37,0,制造业,84.61%,科学研究和技术服务业,3.09%,净值型,2018-03-16
银华深证100分级,161812,股票指数,银华基金,32.52亿,1.0766,1.0900,1.3040,-1.23,1.49,5.21,2.93,6.88,1.80,19.38,36.11,18.33,制造业,59.25%,金融业,10.55%,净值型,2018-03-16
招商增荣混合(LOF),161727,混合型,招商基金,5.63亿,1.0247,1.0300,1.0300,-0.51,0.59,0.68,0.78,1.78,-0.39,2.90,0,0,制造业,21.05%,金融业,2.73%,净值型,2018-03-16
招商中证银行指数分级,161723,股票指数,招商基金,2.65亿,1.0319,1.0410,1.1010,-0.88,-1.14,-1.79,4.31,5.29,2.56,16.97,34.41,0,金融业,94.52%,文化、体育和娱乐业,0.06%,净值型,2018-03-16
招商中证煤炭等权指数分级,161724,股票指数,招商基金,5.22亿,1.1027,1.1240,0.7850,-1.89,0.72,1.72,2.55,-14.33,-2.60,1.42,24.34,0,采矿业,70.15%,制造业,21.68%,净值型,2018-03-16
银华信用债券(LOF),161813,债券型,银华基金,0.35亿,1.2862,1.2860,1.4710,0.02,0.08,0.23,1.26,0.86,0.94,1.82,1.50,12.41,制造业,0.54%,信息传输、软件和信息技术服务业,0.45%,净值型,2018-03-16
招商中证全指证券公司指数分级,161720,股票指数,招商基金,86.43亿,1.0296,1.0410,0.6810,-1.10,0.39,3.38,-6.00,-17.35,-3.50,-14.37,-9.02,-43.57,金融业,87.48%,制造业,0.01%,净值型,2018-03-16
招商丰泰混合(LOF),161722,混合型,招商基金,0.87亿,1.1525,1.1570,1.1570,-0.39,1.85,7.43,-1.70,-2.12,-1.62,6.83,11.68,0,制造业,9.04%,建筑业,5.45%,净值型,2018-03-16
招商优质成长混合(LOF),161706,混合型,招商基金,11.65亿,1.5834,1.6058,3.5161,-1.40,0.34,-0.32,-3.25,3.53,-4.64,16.26,20.58,9.49,制造业,74.60%,金融业,7.00%,净值型,2018-03-16
招商可转债分级债券,161719,债券型,招商基金,0.85亿,0.9041,0.9040,1.3550,0.01,0.33,0.89,0.22,-5.50,1.35,-7.19,-6.57,-28.16,金融业,5.38%,制造业,4.48%,净值型,2018-03-16
招商大宗商品(LOF),161715,股票指数,招商基金,0.92亿,1.0831,1.0950,1.2330,-1.09,1.01,4.09,-0.82,-10.69,-3.27,3.40,29.85,16.90,制造业,48.19%,采矿业,30.72%,净值型,2018-03-16
招商标普金砖四国,161714,QDII-指数,招商基金,0.28亿,1.0801,1.0820,1.0820,-0.18,2.27,2.17,6.18,10.41,5.56,27.90,62.95,48.42,,,,,净值型,2018-03-16
招商沪深300高贝塔指数分级,161718,股票指数,招商基金,0.20亿,1.0487,1.0570,1.2850,-0.79,0.09,4.55,-1.69,-11.09,-1.98,-10.28,-0.99,-20.26,制造业,38.06%,金融业,24.81%,净值型,2018-03-16
融通军工分级,161628,股票指数,融通基金,1.47亿,0.9315,0.9380,0.6590,-0.69,0.32,10.61,-8.31,-12.94,-5.35,-23.42,-17.68,0,制造业,88.69%,信息传输、软件和信息技术服务业,4.99%,净值型,2018-03-16
融通证券分级,161629,股票指数,融通基金,0.59亿,0.8822,0.8920,0.6290,-1.10,0.34,3.00,-6.60,-18.43,-3.78,-15.11,-10.54,0,金融业,94.88%,,,净值型,2018-03-16
融通债券C,161693,债券型,融通基金,0.33亿,1.2082,1.2080,1.7850,0.02,-0.08,0.67,1.59,1.26,1.51,2.36,1.18,11.57,,,,,净值型,2018-03-16
融通可转债债券C,161625,债券型,融通基金,0.57亿,0.8518,0.8519,0.9619,-0.01,0.26,0.55,2.71,-5.00,3.31,-0.49,-5.34,-36.71,建筑业,4.17%,,,净值型,2018-03-16
融通通福债券(LOF)C,161627,债券型,融通基金,0.06亿,1.0182,1.0180,1.1570,0.02,0.00,0.20,1.70,-0.20,1.50,2.21,4.59,9.03,制造业,1.67%,,,净值型,2018-03-16
融通可转债债券A,161624,债券型,融通基金,0.05亿,0.8630,0.8631,0.9731,-0.01,0.28,0.59,2.82,-4.80,3.40,-0.08,-4.63,-36.26,建筑业,4.17%,,,净值型,2018-03-16
招商双债增强债券(LOF),161716,债券型,招商基金,1.05亿,1.1233,1.1230,1.2620,0.02,0.09,0.63,1.54,1.54,1.45,3.50,7.46,12.30,,,,,净值型,2018-03-16
招商信用添利债券(LOF),161713,债券型,招商基金,4.41亿,1.0162,1.0160,1.5900,0.02,0.00,0.40,1.40,1.80,1.30,3.65,5.00,12.47,制造业,2.61%,金融业,2.32%,净值型,2018-03-16
融通丰利四分法,161620,QDII,融通基金,0.21亿,0.8453,0.8460,0.8460,-0.08,2.30,1.81,-4.94,1.44,-4.94,2.67,4.44,-13.67,,,,,净值型,2018-03-16
融通通福债券(LOF)A,161626,债券型,融通基金,0.65亿,1.0222,1.0220,1.6270,0.02,0.00,0.29,1.79,0.00,1.59,2.40,5.72,30.26,制造业,1.67%,,,净值型,2018-03-16
